Region,Type,Frequency
North America,Wheat and Dairy,51
North America,Beverages,152
North America,Confectionary,95
North America,Weight Reduction,125
South & Central America,Wheat and Dairy,71
South & Central America,Beverages,32
South & Central America,Confectionary,122
South & Central America,Weight Reduction,75
EMEA,Wheat and Dairy,241
EMEA,Beverages,111
EMEA,Confectionary,84
EMEA,Weight Reduction,119
Asia,Wheat and Dairy,188
Asia,Beverages,94
Asia,Confectionary,88
Asia,Weight Reduction,92
Australasia,Wheat and Dairy,44
Australasia,Beverages,29
Australasia,Confectionary,74
Australasia,Weight Reduction,57
