Country,GDP (Millions US $)
United States,18569100
China,11199145
Japan,4939384
Germany,3466757
United Kingdom,2618886
France,2465454
India,2263523
Italy,1849970
Brazil,1796187
Canada,1529760
"Korea, Rep.",1411246
Russian Federation,1283162
Spain,1232088
Australia,1204616
Mexico,1045998
Indonesia,932259
Turkey,857749
Netherlands,770845
Switzerland,659827
Saudi Arabia,646438
Argentina,545866
Sweden,511000
Poland,469509
Belgium,466366
Thailand,406840
Nigeria,405083
"Iran, Islamic Rep.",393436
Austria,386428
Norway,370557
United Arab Emirates,348743
"Egypt, Arab Rep.",336297
"Hong Kong SAR, China",320912
Israel,318744
Denmark,306143
Philippines,304905
Singapore,296966
Malaysia,296359
South Africa,294841
Ireland,294054
Pakistan,283660
Colombia,282463
Chile,247028
Finland,236785
Bangladesh,221415
Portugal,204565
Vietnam,202616
Greece,194559
Czech Republic,192925
Peru,192094
